Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/200,102,0,2700.0,3625.4915529405516,395.29509999556467,32098.44929999963,27012.0,0.8813027379629669,0.0,2700,3700,4600,4700,6400,8800,15000,17000,32000,32000,32000
GET,/500,96,1,3600.0,5389.202231250086,640.3174999868497,27531.77699999651,46011.666666666664,0.8294614004357336,0.008640222921205558,3600,4800,5900,7100,17000,18000,22000,28000,28000,28000,28000
,Aggregated,198,1,3100.0,4480.624003030023,395.29509999556467,32098.44929999963,36223.9595959596,1.7107641383987005,0.008640222921205558,3100,4000,4800,5800,8800,17000,22000,28000,32000,32000,32000
